Date,levered_er_index
2002-10-01,100.0
2002-10-02,99.43725078167932
2002-10-03,99.6454552954048
2002-10-04,99.78810580418804
2002-10-05,99.78807299713955
2002-10-06,99.78804019010185
2002-10-07,99.53153188105574
2002-10-08,99.64309008428616
2002-10-09,98.8215791657557
2002-10-10,98.35782305082068
2002-10-11,98.24976555138345
2002-10-12,98.24973325009064
2002-10-13,98.24970094880848
2002-10-14,98.24966864753695
2002-10-15,96.74176460481016
2002-10-16,98.20589498299194
2002-10-17,98.49644773162593
2002-10-18,98.14882533753153
2002-10-19,98.14879306942457
2002-10-20,98.14876080132821
2002-10-21,98.39100172619152
2002-10-22,98.26660814112923
2002-10-23,98.46000009897186
2002-10-24,98.6247972310767
2002-10-25,98.81710562707867
2002-10-26,98.81707313926313
2002-10-27,98.81704065145826
2002-10-28,99.14643450037347
2002-10-29,99.12650829949766
2002-10-30,99.27336354599286
2002-10-31,99.0057729224717
2002-11-01,99.71002602741711
2002-11-02,99.70999324603869
2002-11-03,99.70996046467104
2002-11-04,99.74933878138356
2002-11-05,100.13349476839193
2002-11-06,100.17015878588217
2002-11-07,100.25722508552766
2002-11-08,100.48239734014771
2002-11-09,100.482364304839
2002-11-10,100.48233126954113
2002-11-11,100.48229823425413
2002-11-12,100.64718616671782
2002-11-13,100.68739752778582
2002-11-14,101.15630050537153
2002-11-15,100.90605413113525
2002-11-16,100.9060209565421
2002-11-17,100.90598778195987
2002-11-18,101.26716096183767
2002-11-19,101.40722607219486
2002-11-20,101.77853836556667
2002-11-21,101.9296025113116
2002-11-22,102.77393772628388
2002-11-23,102.77390393759204
2002-11-24,102.77387014891129
2002-11-25,101.64925610214313
2002-11-26,101.50400972422233
2002-11-27,101.90865957868118
2002-11-28,101.90862607446434
2002-11-29,101.62714824658477
2002-11-30,101.6271148349196
2002-12-01,101.62708142326541
2002-12-02,101.99640591539492
2002-12-03,101.8955219221083
2002-12-04,101.85985961077317
2002-12-05,101.80594788881058
2002-12-06,102.05937328780824
2002-12-07,102.05933973404169
2002-12-08,102.05930618028617
2002-12-09,101.88379045672096
2002-12-10,102.0843471152994
2002-12-11,101.95280661736028
2002-12-12,102.08657430767636
2002-12-13,102.09754867591832
2002-12-14,102.09751510960095
2002-12-15,102.0974815432946
2002-12-16,102.08986372538054
2002-12-17,102.11184344831388
2002-12-18,102.09841464143783
2002-12-19,102.06992781322869
2002-12-20,102.21787289208822
2002-12-21,102.21783928621218
2002-12-22,102.21780568034723
2002-12-23,102.27310513026028
2002-12-24,102.16424548289437
2002-12-25,102.16421189464928
2002-12-26,102.27291487208113
2002-12-27,102.18172661479778
2002-12-28,102.18169302080547
2002-12-29,102.1816594268242
2002-12-30,102.25709031590372
2002-12-31,102.36983155353069
2003-01-01,102.36979789769565
2003-01-02,102.5182454915344
2003-01-03,102.20448847954121
2003-01-04,102.20445487806556
2003-01-05,102.20442127660094
2003-01-06,102.16612938763673
2003-01-07,102.05091717116933
2003-01-08,102.26545905254254
2003-01-09,102.65099906332532
2003-01-10,102.57505077165507
2003-01-11,102.5750170483507
2003-01-12,102.57498332505743
2003-01-13,102.74603425627937
2003-01-14,102.70586787182658
2003-01-15,102.64478295746282
2003-01-16,102.77858942679836
2003-01-17,102.73906121953885
2003-01-18,102.73902744231323
2003-01-19,102.73899366509875
2003-01-20,102.73895988789536
2003-01-21,102.7567411218392
2003-01-22,102.67965707816623
2003-01-23,102.67705072441551
2003-01-24,102.58374656284205
2003-01-25,102.5837128366788
2003-01-26,102.58367911052665
2003-01-27,102.55476171160367
2003-01-28,102.29436260974477
2003-01-29,102.40022881853241
2003-01-30,102.21607574156586
2003-01-31,102.01922430559254
2003-02-01,102.01919076502564
2003-02-02,102.01915722446977
2003-02-03,102.19501231110647
2003-02-04,101.99305304671257
2003-02-05,102.35998969207894
2003-02-06,102.02274171035067
2003-02-07,102.22522734005625
2003-02-08,102.22519373176235
2003-02-09,102.22516012347945
2003-02-10,102.51098061067601
2003-02-11,102.35644493861251
2003-02-12,102.41580630810657
2003-02-13,102.49486962784867
2003-02-14,102.47719377310679
2003-02-15,102.47716008197459
2003-02-16,102.47712639085346
2003-02-17,102.47709269974341
2003-02-18,101.94310762966575
2003-02-19,101.8764801562895
2003-02-20,101.92942003956739
2003-02-21,102.24485338555588
2003-02-22,102.24481977080958
2003-02-23,102.2447861560743
2003-02-24,102.11755895008098
2003-02-25,102.23564539880033
2003-02-26,102.22654789786819
2003-02-27,102.27952599189605
2003-02-28,102.20444069245804
2003-03-01,102.20440709099806
2003-03-02,102.20437348954917
2003-03-03,102.39674707715264
2003-03-04,102.34089696285183
2003-03-05,102.1218913928384
2003-03-06,102.42518947097751
2003-03-07,100.94055683365812
2003-03-08,100.94052364772162
2003-03-09,100.94049046179602
2003-03-10,100.89475290193202
2003-03-11,100.82540073627816
2003-03-12,100.42804529677663
2003-03-13,100.70072386908734
2003-03-14,100.45143338151678
2003-03-15,100.45140035638799
2003-03-16,100.45136733127008
2003-03-17,100.75866655841902
2003-03-18,100.54770741203728
2003-03-19,100.68611180319726
2003-03-20,100.62384726391281
2003-03-21,100.92988235153678
2003-03-22,100.92984916910969
2003-03-23,100.92981598669353
2003-03-24,100.47153666362541
2003-03-25,100.91246844145964
2003-03-26,101.53198553384041
2003-03-27,101.87928761890672
2003-03-28,101.84472828753131
2003-03-29,101.84469480433299
2003-03-30,101.84466132114565
2003-03-31,101.42266906302491
2003-04-01,101.32560017512176
2003-04-02,101.36938569280923
2003-04-03,101.31728669618646
2003-04-04,101.53800983236248
2003-04-05,101.53797645000307
2003-04-06,101.53794306765465
2003-04-07,101.49719693268398
2003-04-08,101.24348077941863
2003-04-09,101.67852660222819
2003-04-10,101.97075126471039
2003-04-11,101.98620060043046
2003-04-12,101.98616707072067
2003-04-13,101.98613354102191
2003-04-14,102.24103684478078
2003-04-15,102.2195436329053
2003-04-16,102.41095961096377
2003-04-17,102.63108579720905
2003-04-18,102.6310520554822
2003-04-19,102.63101831376646
2003-04-20,102.63098457206182
2003-04-21,102.87874435410828
2003-04-22,103.0449903713506
2003-04-23,103.04315523776737
2003-04-24,102.46277542333397
2003-04-25,102.55014166282477
2003-04-26,102.55010794770972
2003-04-27,102.55007423260574
2003-04-28,102.58310002947661
2003-04-29,103.17213959057241
2003-04-30,103.08629730500907
2003-05-01,103.18476887727304
2003-05-02,103.31196379622556
2003-05-03,103.3119298306484
2003-05-04,103.31189586508242
2003-05-05,103.22467539995436
2003-05-06,103.09898870119542
2003-05-07,102.99758738641805
2003-05-08,102.9594122814133
2003-05-09,102.84870986120312
2003-05-10,102.84867604792863
2003-05-11,102.84864223466528
2003-05-12,102.76111606602429
2003-05-13,102.68266924779915
2003-05-14,102.03393877753348
2003-05-15,102.1763761024658
2003-05-16,102.203969481506
2003-05-17,102.20393588020096
2003-05-18,102.20390227890697
2003-05-19,102.2463441710746
2003-05-20,101.98025208743856
2003-05-21,102.1699718676617
2003-05-22,101.93263515145333
2003-05-23,102.00508649104296
2003-05-24,102.00505295512411
2003-05-25,102.0050194192163
