Date,cad_ig_er_index,cad_ig_sprds,vix,us_eco_suprise,lei_yoy_index,us_recession_odds,cad_recession_odds,atlanta_fed,growth_surpise,hard_data,equity_revisions,fed_credit_model,cad_ig_sprds_1m_pct_change,cad_ig_sprds_3m_pct_change,cad_ig_sprds_6m_pct_change,us_hy_er_index_1m_pct_change,us_hy_er_index_3m_pct_change,us_hy_er_index_6m_pct_change,us_ig_er_index_1m_pct_change,us_ig_er_index_3m_pct_change,us_ig_er_index_6m_pct_change,tsx_index_1m_pct_change,tsx_index_3m_pct_change,tsx_index_6m_pct_change
2006-01-10,1.0579,57.4872,10.86,0.181,3.6,70.0,10.0,0.7,0.7,-0.0172,0.18,0.11,-0.003701855086931216,-0.003971141651246457,-0.01136750578693757,0.0019469026548675217,0.0074746396155900285,0.011434697159192542,-0.00027601435274626773,-0.00027601435274626773,0.00018409425625920406,0.002801505549834493,0.007814781085327294,0.01363710256800199
2006-01-11,1.0579,57.6624,10.94,0.181,3.6,70.0,10.0,0.7,0.7,-0.0172,0.18,0.11,0.003047634951780509,0.006568783701456304,-0.008354514843107896,0.0010598834128243695,0.004787234042553212,0.01250670001786669,-0.000184060371801964,-0.0004600239212438906,0.0,0.0020193815794806724,4.905141448796613e-05,0.015684022661206054
2006-01-12,1.0579,57.9105,11.2,0.181,3.6,70.0,10.0,0.7,0.7,-0.018,0.18,0.11,0.0043026304836426554,0.00363426503618669,-0.0005039722332010887,-0.0031762837480148187,-0.0001769911504424515,0.0074906367041198685,0.0003681885125184081,-9.200478424875591e-05,9.202171712519025e-05,-0.0022244155638527774,0.0025913926335969784,0.008146777632096036
2006-01-13,1.0579,57.8462,11.23,0.137,3.6,70.0,10.0,0.7,0.7,-0.0733,0.14,0.11,-0.0011103340499563075,0.0062448684228837426,0.002248927514536758,-0.004956629491945308,-0.007065889418830573,0.00035593521979015996,0.0,0.000184060371801964,-9.200478424875591e-05,0.0008313799354557894,0.0006216798116163158,0.008441319188576601
2006-01-16,1.0579,57.8462,11.23,0.137,3.6,70.0,10.0,0.7,0.7,-0.0733,0.14,0.11,0.0,0.0031875190765560113,0.009777240901370554,0.0,-0.00811716957826003,-0.0033687943262409314,0.0,0.0003681885125184081,-9.200478424875591e-05,0.010008772217061424,0.008599926168334271,0.008649399421365445
2006-01-17,1.0579,58.6353,11.91,0.139,3.6,70.0,10.0,0.7,0.7,-0.0376,0.14,0.11,0.013641345498926372,0.012515864998575488,0.016195616005324043,-0.001245330012453305,-0.006195786864931718,-0.006371681415929142,9.20132499080406e-05,9.20132499080406e-05,0.0,-0.0026755464778084326,0.008143901172728674,0.010756397851833244
2006-01-18,1.0579,58.9011,12.25,0.154,3.6,70.0,10.0,0.7,0.7,-0.0191,0.14,0.11,0.0045331054842390195,0.018236288641259035,0.02459504028722903,0.0003562522265763146,-0.0008895214374667892,-0.007949125596184548,-9.200478424875591e-05,0.0,0.000184060371801964,-0.01155898272055278,-0.004336991008908386,-0.0037180074170455324
2006-01-19,1.0579,59.1439,11.98,0.11,3.6,70.0,10.0,0.7,0.7,-0.0333,0.14,0.11,0.004122164102198456,0.0224336257178519,0.02569265240433971,0.002849002849002913,0.001956947162426559,-0.006176107287806487,9.20132499080406e-05,9.20132499080406e-05,0.00046023564064801015,0.011984951304644387,-0.002388880783757652,0.006190501186211339
2006-01-20,1.0579,58.8383,14.56,0.119,3.6,70.0,10.0,0.7,0.7,-0.0333,0.13,0.11,-0.005167058648482881,0.0034620783043661785,0.016021274207613345,-0.0010653409090909394,0.002137513359458554,-0.004071517082669396,0.00036801913699502364,0.00036801913699502364,0.000460066249539981,-0.007466024457430387,-0.007180735713167574,0.0009046862575656789
2006-01-23,1.0579,59.0946,13.93,0.104,3.6,70.0,10.0,0.7,0.7,-0.0333,0.13,0.11,0.004356006206841512,0.0032851678491572223,0.0215813657595485,0.0007109847138284664,0.00249287749287741,0.00160113858743971,0.0,0.000460066249539981,0.000460066249539981,0.01100324238066408,0.015481427566253592,0.01107729374518529
2006-01-24,1.0579,58.9748,13.31,0.104,3.6,70.0,10.0,0.7,0.7,-0.0333,0.13,0.11,-0.00202725798973169,-0.0028591283293797343,0.019510356773651427,0.003197158081705176,0.0028409090909089496,0.004803415762319796,-9.197093718382732e-05,0.00027601435274626773,0.0003680529996319404,-0.00349601180223591,-5.302331229783963e-05,-0.002441777429683656
2006-01-25,1.0579,58.8852,12.87,0.061,3.6,70.0,10.0,0.7,0.7,-0.0878,0.13,0.11,-0.0015192929861568283,0.0007970998482280667,0.004261937774685087,0.004780453257790418,0.008709562744400934,0.010865692910580593,0.0,-9.197093718382732e-05,0.00027601435274626773,-0.0014701920486472897,0.005987590548413024,-0.0012361404700413914
